id,first_name,last_name,city,hotel,score
1,Lenee,Tureville,Tiancheng,Kashmiri,1
2,Randall,Heddan,Santa Eulália,Norwegian,2
3,Claudine,Flynn,Okcheon,Portuguese,3
4,Indira,Niese,Puerto Cumarebo,Bislama,4
5,Noella,Ruckhard,Zhangting,Gagauz,5
6,Whit,Passo,Lagawe,Armenian,6
7,Hiram,Aronsohn,Sepekov,Swati,7
8,Mikael,Petrushkevich,Tours,Haitian Creole,8
9,Joshuah,Volk,Yugang,Gagauz,9
10,Catha,Stidston,Altona,Norwegian,10
11,Rosalinda,Reschke,Bailizhou,Filipino,11
12,Bernadine,Spohrmann,Turośń Kościelna,Burmese,12
13,Sophronia,Schuler,Jeminay,Haitian Creole,13
14,Roseann,Blasetti,Aksu,Polish,14
15,Isa,Serck,Kebonsari,Montenegrin,15
16,Alleen,Doxsey,Rouen,Haitian Creole,16
17,Catharine,Gladtbach,Fengshuling,Māori,17
18,Gretta,Gilvary,Tupsan,Lithuanian,18
19,Kaylil,Kersaw,Xiji,Dari,19
20,Jarrod,Ziemke,Hebei,Indonesian,20
21,Rorke,Chippendale,Galapa,Hiri Motu,21
22,Carena,Mewett,Myadzyel,Dhivehi,22
23,Mareah,Saville,Dimitsána,Japanese,23
24,Jakie,Durbin,Tekeli,Haitian Creole,24
25,Mari,Noury,Oemofa,Albanian,25
26,Colet,Physick,Plewiska,Mongolian,26
27,Muriel,Longfield,Uruobo-Okija,Haitian Creole,27
28,Ciel,MacGilmartin,Abelheira,Bengali,28
29,Margette,Lackeye,Changhao,Icelandic,29
30,Marni,Cowoppe,Nizhnepavlovka,Burmese,30
31,Earvin,Rennie,Santa Cruz,Montenegrin,31
32,Salomi,Rutland,Qinjia,Chinese,32
33,Angelle,Bleacher,Lendava,Italian,33
34,Letizia,Andrzejewski,Banjar Kertasari,Māori,34
35,Randell,Forker,Ciparay,Papiamento,35
36,Kyle,Snelson,Buenos Aires,Catalan,36
37,Linn,Owttrim,Kerasochóri,Albanian,37
38,Arin,Markos,Lugovskoy,Hungarian,38
39,Lindy,Muehler,Mulifanua,Persian,39
40,Brandais,Keoghane,Huayllati,Sotho,40
41,Hewie,Landells,Yalukou,Moldovan,41
42,Hashim,Belchamber,Gunziying,Malay,42
43,Anthea,Spreag,Baz,Irish Gaelic,43
44,Purcell,Imort,Pego Longo,Hebrew,44
45,Iain,Iacovazzi,Dayong,Fijian,45
46,Donalt,Bellany,Frashër,Hebrew,46
47,Vivianne,Linton,Xianren,Papiamento,47
48,Tucker,Cardero,Kraskino,Greek,48
49,Wyndham,Petrasso,Sovetskoye,Assamese,49
50,Wildon,Killbey,Knoxville,Telugu,50
51,Nydia,Starsmore,Hatton,Somali,51
52,Meier,Dominichelli,Panique,Bislama,52
53,Daveen,MacCracken,Xindong,Bislama,53
54,Lucilia,Wicken,Antas,Assamese,54
55,Deidre,Kinnar,Myadzyel,Czech,55
56,Veriee,Lowdeane,Ganyesa,Haitian Creole,56
57,Alvinia,Rosle,Lazdijai,Kannada,57
58,Alan,Lamperti,Futian,Bosnian,58
59,Reginauld,Euston,San Antonio Oeste,Lithuanian,59
60,Roma,Rew,Omīdcheh,Japanese,60
61,Timmi,Muriel,Czerniewice,Māori,61
62,Averill,Deveral,Al ‘Azīzīyah,Swahili,62
63,Stavro,Craythorne,Kresna,Afrikaans,63
64,Silvia,Liebermann,Libas,Dzongkha,64
65,Karyl,Shilliday,Gävle,Portuguese,65
66,Maurise,Benjefield,Sobontoro,Kurdish,66
67,Sergei,Pengelly,Cacaopera,Telugu,67
68,Pru,Breeds,Zašová,Romanian,68
69,Calvin,Gertz,Luleå,Assamese,69
70,Cloris,Keyse,Al Jubayhah,Azeri,70
71,Sandy,Lowles,Aglipay,Catalan,71
72,Dulcie,Nuzzti,Bata Tengah,Hiri Motu,72
73,Rawley,Spare,Zhangjiaji,Belarusian,73
74,Roy,Longea,Xin’an,Dhivehi,74
75,Cameron,Borgars,Paka,Mongolian,75
76,Eydie,Murie,Imbang,Swahili,76
77,Michal,Paladini,Santander,Indonesian,77
78,Haily,Chismon,Coroatá,Ndebele,78
79,Fielding,Sandcroft,Matriz de Camaragibe,Hiri Motu,79
80,Toddy,Mapples,Tacoma,Montenegrin,80
81,Charlena,Siveter,Ziyang,Dutch,81
82,Lonna,Geater,Wangfu,Papiamento,82
83,Dareen,Sclater,Skiáthos,Georgian,83
84,Briant,Lester,Alfena,Dzongkha,84
85,Talia,Caskie,Sari,Moldovan,85
86,Vachel,Lambe,Castrovirreyna,Estonian,86
87,Veronike,Paolinelli,Sokobanteng,Italian,87
88,Gery,Wanell,Yanmenguan,Kannada,88
89,Bamby,Eagan,Juršinci,New Zealand Sign Language,89
90,Diego,Idenden,Wenquan,Armenian,90
91,Bryanty,Pattle,Kahrīz,Albanian,91
92,Gunter,Eltune,Chaoyang,Khmer,92
93,Isidor,Rodinger,Bystrytsya,Oriya,93
94,Doralia,Enderwick,Fershampenuaz,Luxembourgish,94
95,Reese,Brandon,Арачиново,Spanish,95
96,Nanci,Titmarsh,Vidin,Gagauz,96
97,Joete,Antonetti,Rosice,Tamil,97
98,Donica,Cheake,Baños,Amharic,98
99,Debera,O'Tierney,Santo Amaro da Imperatriz,Hebrew,99
100,Aurelie,Boxill,El Benque,Gujarati,100
101,Valentia,Creane,Arboga,Japanese,101
102,Grissel,Iorio,Zandak,Khmer,102
103,Meade,Ahren,Wuyang,Hindi,103
104,Ransell,Leith,Cagwait,Haitian Creole,104
105,Darby,Probate,Hongsipu,New Zealand Sign Language,105
106,Keary,Yankishin,Rio Negrinho,Dzongkha,106
107,Natalee,Plumer,Cunén,Dhivehi,107
108,Tybi,Swatheridge,Shuangtang,Tswana,108
109,Phoebe,Olive,Xiling,Kurdish,109
110,Eugene,Dimitrescu,Pangai,Sotho,110
111,Rasla,Fache,Nagu,Fijian,111
112,Sebastiano,MacCallion,Carson City,Malayalam,112
113,Vasilis,Brandacci,Nanfeng,Finnish,113
114,Sorcha,Keenlyside,Tsibulev,Papiamento,114
115,Tobit,Kubecka,Guanfang,Somali,115
116,Allison,Chinnock,Mosquée,Filipino,116
117,Bobbette,Warder,Los Pinos,New Zealand Sign Language,117
118,Lyndsie,Oswick,Potou,Hiri Motu,118
119,Cordell,Laphorn,Créteil,Bosnian,119
120,Perry,Dallin,Jintian,Afrikaans,120
121,Lilian,Keaves,Ouagadougou,Korean,121
122,Bebe,Gerb,El Espino,Albanian,122
123,Felike,Mantripp,Joševa,Malayalam,123
124,Urban,Bowfin,Cassilândia,Quechua,124
